run_id,benchmark,kernel,group,arm,model,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
t0_11_classes_a,burkardt/md,md,B,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_a,npb/is,is,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_a,polybench/2mm,2mm,A,discopop_capability,none,1,0,,,,FASTER,5.149,,,0,0,no-baseline
t0_11_classes_a,polybench/3mm,3mm,,discopop_capability,none,1,0,,,,FASTER,7.925,,,0,0,no-baseline
t0_11_classes_a,polybench/adi,adi,,discopop_capability,none,1,0,,,,FASTER,1.735,,,0,0,no-baseline
t0_11_classes_a,polybench/atax,atax,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_a,polybench/bicg,bicg,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_a,polybench/correlation,correlation,,discopop_capability,none,1,0,,,,FASTER,5.405,,,0,0,no-baseline
t0_11_classes_a,polybench/covariance,covariance,,discopop_capability,none,1,0,,,,FASTER,5.124,,,0,0,no-baseline
t0_11_classes_a,polybench/doitgen,doitgen,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_a,polybench/dynprog,dynprog,,discopop_capability,none,1,0,,,,parallel-not-faster,0.982,,,0,0,no-baseline
t0_11_classes_a,polybench/fdtd-2d,fdtd-2d,,discopop_capability,none,1,0,,,,FASTER,4.671,,,0,0,no-baseline
t0_11_classes_a,polybench/fdtd-apml,fdtd-apml,,discopop_capability,none,1,0,,,,FASTER,3.904,,,0,0,no-baseline
t0_11_classes_a,polybench/floyd-warshall,floyd-warshall,B,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_a,polybench/gemm,gemm,,discopop_capability,none,1,0,,,,FASTER,9.334,,,0,0,no-baseline
t0_11_classes_a,polybench/gemver,gemver,,discopop_capability,none,1,0,,,,parallel-speed-not-measurable,,,,0,0,no-baseline
t0_11_classes_a,polybench/gesummv,gesummv,,discopop_capability,none,1,0,,,,parallel-speed-not-measurable,,,,0,0,no-baseline
